time m <n0> <n1>  nActive
52.9 169 0.508067703807 0.49942819417 39
53 168 0.508077560408 0.499429539708 39
53.1 166 0.508087258359 0.499430997025 39
53.2 167 0.508096799902 0.499432519755 39
53.3 167 0.508106193372 0.499434047589 39
53.4 167 0.508115439133 0.499435542905 39
53.5 170 0.508124545874 0.49943695049 39
53.6 169 0.50813351836 0.499438237006 39
53.7 168 0.50814235973 0.499439361224 39
53.8 168 0.508151075958 0.499440302295 39
53.9 168 0.508159674904 0.49944102779 39
54 167 0.508168156772 0.499441528602 39
54.1 170 0.508176523473 0.499441806617 39
54.2 168 0.508184784307 0.499441859716 39
54.3 171 0.50819293203 0.49944171114 39
54.4 172 0.508200970871 0.499441384043 39
54.5 170 0.508208899725 0.499440910547 39
54.6 172 0.508216716001 0.499440335781 39
54.7 169 0.50822441952 0.499439708911 39
54.8 175 0.508232004231 0.499439081756 39
54.9 170 0.508239464719 0.499438511915 39
55 172 0.508246792482 0.499438058664 39
55.1 172 0.508253980102 0.499437785415 39
55.2 174 0.508261016831 0.499437752489 39
55.3 176 0.508267894763 0.499438012253 39
55.4 172 0.508274600439 0.499438620371 39
55.5 173 0.508281120534 0.499439618601 39
55.6 184 0.508287442837 0.499441048417 39
55.7 187 0.508293550903 0.49944294103 39
55.8 175 0.508299433901 0.499445321773 39
55.9 176 0.50830507116 0.499448204397 39
56 181 0.508310449023 0.499451592901 39
56.1 179 0.508315555681 0.499455483338 39
56.2 175 0.508320369812 0.49945986299 39
56.3 178 0.508324871892 0.499464724536 39
56.4 176 0.50832905351 0.499470032676 39
56.5 175 0.508332892553 0.499475761125 39
56.6 175 0.50833637442 0.499481873913 39
56.7 177 0.508339485773 0.499488336327 39
56.8 179 0.508342211827 0.499495108284 39
56.9 175 0.508344537653 0.49950215223 39
57 175 0.508346451168 0.499509426521 39
57.1 178 0.508347939225 0.499516894335 39
57.2 176 0.508348992759 0.499524525037 39
57.3 188 0.508349598125 0.499532290183 39
57.4 174 0.508349750809 0.499540154064 39
57.5 184 0.508349437248 0.499548110515 39
57.6 178 0.508348654443 0.499556133304 39
57.7 179 0.508347398118 0.4995642101 39
57.8 178 0.508345661203 0.499572333476 39
57.9 178 0.508343443414 0.499580493219 39
58 182 0.508340740221 0.49958869235 39
58.1 184 0.508337553161 0.49959692495 39
58.2 181 0.508333884335 0.499605199346 39
58.3 183 0.508329730968 0.499613509056 39
58.4 183 0.508325099383 0.499621861517 39
58.5 191 0.508319993224 0.499630255233 39
58.6 184 0.508314416346 0.499638684745 39
58.7 182 0.508308374701 0.499647150786 39
58.8 188 0.508301871882 0.499655646182 39
58.9 181 0.508294918744 0.499664156813 39
59 188 0.508287520337 0.499672679092 39
59.1 189 0.508279683283 0.499681190605 39
59.2 192 0.508271414835 0.499689679117 39
59.3 181 0.508262725042 0.499698124757 39
59.4 186 0.508253620283 0.499706509909 39
59.5 195 0.508244107487 0.499714813837 39
59.6 182 0.508234197354 0.499723014418 39
59.7 181 0.508223892186 0.499731093962 39
59.8 179 0.508213202864 0.499739034104 39
59.9 182 0.508202133496 0.499746825338 39
60 178 0.508190689322 0.499754459693 39
60.1 190 0.508178873747 0.499761928778 39
60.2 179 0.508166693784 0.4997692325 39
60.3 182 0.508154150384 0.499776375316 39
60.4 187 0.508141245533 0.499783372993 39
60.5 194 0.508127981822 0.49979023941 39
60.6 185 0.508114358352 0.499796999835 39
60.7 183 0.508100373623 0.499803679661 39
60.8 194 0.508086024673 0.499810311705 39
60.9 188 0.508071313182 0.499816930778 39
61 191 0.50805623277 0.499823571808 39
61.1 188 0.508040781182 0.499830279121 39
61.2 188 0.508024951283 0.499837091826 39
61.3 187 0.508008738253 0.49984405031 39
61.4 196 0.507992137165 0.499851194898 39
61.5 190 0.507975141652 0.499858553398 39
61.6 194 0.50795774507 0.499866156715 39
61.7 191 0.507939939109 0.499874032003 39
61.8 186 0.507921719366 0.499882202271 39
