# SIAM impurity greater Green function, spin-symmetric FBR
# L=500 U=0.025 V=0.1 dt=0.1 tmax=250 E_gs=-158.222021525
# t  n_active  bond_dim  wall_s  ReG00  ImG00  n0  ReC0n  ImC0n  E_psi0  E_B
9.3 364 36 50.558274 -0.134193298573 -0.419858208463 0.500000266927 -0.236885925169 4.68904558775e-07 -0.10175180635 -0.0832112691688
9.4 368 34 46.251614 -0.134998476578 -0.41893714278 0.500000277893 -0.236886441284 6.08950925093e-07 -0.101752013723 -0.0833584228809
9.5 372 36 55.66665 -0.135794517042 -0.418015661856 0.500000291507 -0.236886950891 7.41077993317e-07 -0.101752219552 -0.0835081304964
9.6 376 33 47.635557 -0.136581355238 -0.417094010109 0.500000307669 -0.23688744048 8.69796175937e-07 -0.10175241815 -0.0836600594377
9.7 380 33 52.301825 -0.137358930363 -0.416172451865 0.500000326952 -0.236887923572 1.03423279109e-06 -0.101752611131 -0.083813852512
9.8 384 39 57.941806 -0.138127224844 -0.415251247486 0.500000349325 -0.23688835915 1.18534104976e-06 -0.101752790904 -0.0839691313351
9.9 388 34 50.477633 -0.13888624627 -0.414330658809 0.500000374415 -0.23688878567 1.32123746049e-06 -0.101752965922 -0.0841255021079
10 392 36 62.495165 -0.139636013055 -0.413410964215 0.500000403201 -0.236889153632 1.51148190437e-06 -0.101753120969 -0.0842825703262
10.1 396 33 54.65392 -0.140376582421 -0.412492430646 0.500000434337 -0.236889496526 1.62496048232e-06 -0.101753268552 -0.0844399284087
10.2 400 36 69.299212 -0.141108034911 -0.411575321075 0.500000468614 -0.236889829969 1.78182975884e-06 -0.101753407419 -0.0845971549581
10.3 404 34 70.702109 -0.141830472104 -0.410659896097 0.500000505724 -0.236890104568 1.91689331608e-06 -0.101753523556 -0.0847538435589
10.4 408 32 51.157011 -0.142544017551 -0.409746404159 0.500000545229 -0.236890358797 2.02419927631e-06 -0.101753630159 -0.0849095992021
10.5 412 31 52.989085 -0.14324882194 -0.408835087346 0.500000586993 -0.23689056382 2.13451886066e-06 -0.101753720649 -0.0850640234977
10.6 416 36 62.790078 -0.14394504974 -0.407926174599 0.500000630727 -0.236890710778 2.2265499971e-06 -0.101753788731 -0.0852167325553
10.7 420 33 56.556891 -0.144632886282 -0.407019872419 0.50000067612 -0.236890802107 2.30337950999e-06 -0.10175383356 -0.085367361979
10.8 424 35 59.185134 -0.145312543398 -0.406116390807 0.500000723737 -0.236890871338 2.40844551323e-06 -0.101753872094 -0.0855155671563
10.9 428 33 61.670897 -0.145984227981 -0.405215909775 0.500000772381 -0.23689085184 2.44294408629e-06 -0.10175387334 -0.0856610209986
11 432 33 74.223715 -0.146648174641 -0.404318585362 0.500000821701 -0.236890803782 2.46817069164e-06 -0.101753862661 -0.0858034176555
11.1 436 37 74.996845 -0.147304643053 -0.403424569977 0.500000871432 -0.236890706873 2.4929481706e-06 -0.101753834752 -0.085942485836
11.2 440 33 65.678364 -0.147953861887 -0.40253397477 0.500000920628 -0.236890541089 2.44070509e-06 -0.101753774205 -0.0860779757207
11.3 444 33 63.192537 -0.148596102306 -0.401646904251 0.500000969443 -0.236890407696 2.40154647822e-06 -0.101753729233 -0.0862096672222
11.4 448 32 66.491844 -0.149231621453 -0.400763438228 0.500001016486 -0.236890179476 2.29574451954e-06 -0.101753651404 -0.0863373841134
11.5 452 38 68.356306 -0.149860702609 -0.399883643695 0.500001062032 -0.236890000913 2.21277320229e-06 -0.101753581878 -0.0864609632947
11.6 456 34 65.1995 -0.150483601864 -0.399007549704 0.500001104507 -0.236889759271 2.05162431794e-06 -0.101753490932 -0.0865802974681
11.7 460 33 64.745793 -0.151100586047 -0.39813516932 0.50000114467 -0.236889478871 1.91604240718e-06 -0.101753383369 -0.0866952726785
11.8 464 35 80.565057 -0.151711939857 -0.397266499924 0.500001181603 -0.236889188513 1.74122298908e-06 -0.101753274354 -0.0868058565806
11.9 468 43 85.576745 -0.152317898425 -0.396401523978 0.500001214514 -0.2368888544 1.53187298197e-06 -0.101753141266 -0.0869120113323
12 470 35 90.231717 -0.152918725366 -0.395540184324 0.50000124394 -0.236888524325 1.34118506175e-06 -0.101753010368 -0.0870137472575
12.1 472 37 82.048183 -0.15351466031 -0.394682420111 0.500001268396 -0.236888195406 1.07722162513e-06 -0.101752879021 -0.0871111146797
12.2 474 41 88.18988 -0.154105938597 -0.393828148256 0.500001287083 -0.236887867388 7.74849393426e-07 -0.101752747383 -0.0872041803026
12.3 476 37 92.013104 -0.15469278352 -0.392977257902 0.500001299839 -0.236887520322 4.62526046786e-07 -0.101752607327 -0.0872930375664
12.4 478 38 95.290081 -0.155275397356 -0.392129661662 0.500001306241 -0.236887155338 1.47026398601e-07 -0.101752460272 -0.08737783929
