bench_green_cost_siam_v2 L 80 U 0.025 dt 0.1 nStep 400 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
28.6  0.114254 0.167908 12 8   1.22824 0.00946207 30   0.02277
28.7  0.127869 0.162493 12 8   1.22788 0.00951739 30   0.0114593
28.8  0.107381 0.151223 12 8   1.22903 0.00949878 30   0.0189889
28.9  0.134182 0.160072 12 8   1.22871 0.00944941 30   0.0114734
29  0.114399 0.154354 12 8   1.2293 0.00946962 30   0.019845
29.1  0.115205 0.16275 12 8   1.2315 0.00946515 30   0.0128203
29.2  0.115155 0.155411 12 8   1.23176 0.00945575 30   0.0182684
29.3  0.115325 0.155611 12 8   1.23323 0.00949556 30   0.0119772
29.4  0.108397 0.150617 12 8   1.23348 0.00946511 30   0.0176379
29.5  0.114857 0.151318 12 8   1.23371 0.00946776 30   0.0168791
29.6  0.115245 0.152768 12 8   1.23291 0.00946997 30   0.00286738
29.7  0.108079 0.153016 12 8   1.23296 0.00948511 30   0.00697784
29.8  0.121634 0.151639 12 8   1.23347 0.00947838 30   0.0436074
29.9  0.115355 0.15911 12 8   1.23367 0.00943745 30   0.0431436
30  0.108516 0.167451 12 8   1.23318 0.00948433 30   0.0181734
30.1  0.122423 0.1527 12 8   1.23347 0.00945967 30   0.0203619
30.2  0.108675 0.151611 12 8   1.23573 0.00948003 30   0.0415118
30.3  0.1152 0.1497 12 8   1.23537 0.00946758 30   0.0409001
30.4  0.121705 0.156994 12 8   1.23798 0.00945352 30   0.0402616
30.5  0.115159 0.155296 12 8   1.23674 0.00946289 30   0.0396008
30.6  0.107992 0.153156 12 8   1.23737 0.00946167 30   0.0167469
30.7  0.0946012 0.167285 12 8   1.23722 0.00946073 30   0.00818534
30.8  0.108545 0.164892 12 8   1.23722 0.00950748 30   0.00576038
30.9  0.0944349 0.175738 12 8   1.23822 0.00946407 31   0.0145105
31  0.114705 0.16039 12 8   1.23979 0.00944202 31   0.0361491
31.1  0.0946259 0.16025 12 8   1.23937 0.00944083 31   0.00422195
31.2  0.121423 0.160346 12 8   1.23961 0.00950152 31   0.0113087
31.3  0.115151 0.161388 12 8   1.23923 0.00946389 31   0.00801274
31.4  0.121031 0.155732 12 8   1.2393 0.00949025 31   0.0335707
31.5  0.101388 0.157954 12 8   1.23975 0.00947218 31   0.01205
31.6  0.120731 0.167345 12 8   1.23973 0.00947354 31   0.0154287
31.7  0.121389 0.152411 12 8   1.23892 0.00945208 31   0.0320139
31.8  0.107773 0.154255 12 8   1.23803 0.00946838 31   0.0315995
31.9  0.107875 0.162111 12 8   1.23857 0.00949797 31   0.0236215
